order,species,n
Chiroptera,Lonchorhina orinocensis,220
Chiroptera,Lophostoma brasiliense,392
Chiroptera,Lophostoma carrikeri,66
Chiroptera,Lophostoma evotis,58
Chiroptera,Lophostoma kalkoae,1
Chiroptera,Lophostoma occidentale,27
Chiroptera,Lophostoma schulzi,53
Chiroptera,Lophostoma silvicola,1497
Chiroptera,Lyroderma lyra,379
Chiroptera,Macroderma gigas,533
Chiroptera,Macroglossus minimus,4828
Chiroptera,Macroglossus sobrinus,429
Chiroptera,Macronycteris commersonii,1012
Chiroptera,Macronycteris cryptovalorona,3
Chiroptera,Macronycteris gigas,194
Chiroptera,Macronycteris thomensis,4
Chiroptera,Macronycteris vittatus,219
Chiroptera,Macrophyllum macrophyllum,697
Chiroptera,Macrotus californicus,4523
Chiroptera,Macrotus waterhousii,3740
Chiroptera,Megaderma spasma,1082
Chiroptera,Megaerops albicollis,3
Chiroptera,Megaerops ecaudatus,155
Chiroptera,Megaerops kusnotoi,12
Chiroptera,Megaerops niphanae,218
Chiroptera,Megaloglossus azagnyi,19
Chiroptera,Megaloglossus woermanni,815
Chiroptera,Melonycteris melanops,238
Chiroptera,Mesophylla macconnelli,821
Chiroptera,Micronomus norfolkensis,90
Chiroptera,Micronycteris brosseti,37
Chiroptera,Micronycteris buriri,32
Chiroptera,Micronycteris giovanniae,2
Chiroptera,Micronycteris hirsuta,345
Chiroptera,Micronycteris matses,9
Chiroptera,Micronycteris megalotis,1995
Chiroptera,Micronycteris microtis,1197
Chiroptera,Micronycteris minuta,537
Chiroptera,Micronycteris sanborni,2
Chiroptera,Micronycteris schmidtorum,132
Chiroptera,Micronycteris simmonsae,4
Chiroptera,Micronycteris tresamici,3
Chiroptera,Micronycteris yatesi,3
Chiroptera,Mimetillus moloneyi,221
Chiroptera,Mimon bennettii,171
Chiroptera,Mimon cozumelae,206
Chiroptera,Miniopterus aelleni,45
Chiroptera,Miniopterus africanus,171
Chiroptera,Miniopterus ambohitrensis,26
Chiroptera,Miniopterus arenarius,212
Chiroptera,Miniopterus australis,3052
Chiroptera,Miniopterus blepotis,569
Chiroptera,Miniopterus brachytragos,6
Chiroptera,Miniopterus egeri,13
Chiroptera,Miniopterus eschscholtzii,530
Chiroptera,Miniopterus fraterculus,311
Chiroptera,Miniopterus fuliginosus,994
Chiroptera,Miniopterus fuscus,230
Chiroptera,Miniopterus gleni,78
Chiroptera,Miniopterus griffithsi,15
Chiroptera,Miniopterus griveaudi,153
Chiroptera,Miniopterus inflatus,897
Chiroptera,Miniopterus macrocneme,198
Chiroptera,Miniopterus maghrebensis,9
Chiroptera,Miniopterus magnater,493
Chiroptera,Miniopterus mahafaliensis,44
Chiroptera,Miniopterus majori,91
Chiroptera,Miniopterus manavi,244
Chiroptera,Miniopterus medius,271
Chiroptera,Miniopterus minor,654
Chiroptera,Miniopterus mossambicus,20
Chiroptera,Miniopterus natalensis,801
Chiroptera,Miniopterus newtoni,8
Chiroptera,Miniopterus nimbae,2
Chiroptera,Miniopterus orianae,1203
Chiroptera,Miniopterus pallidus,145
Chiroptera,Miniopterus paululus,332
Chiroptera,Miniopterus petersoni,72
Chiroptera,Miniopterus pusillus,369
Chiroptera,Miniopterus robustior,10
Chiroptera,Miniopterus schreibersii,8707
Chiroptera,Miniopterus shortridgei,76
Chiroptera,Miniopterus sororculus,48
Chiroptera,Miniopterus tristis,396
Chiroptera,Miniopterus villiersi,38
Chiroptera,Miomyotis floridanus,2
Chiroptera,Mirimiri acrodonta,5
Chiroptera,Mirostrellus joffrei,8
Chiroptera,Molossops neglectus,47
Chiroptera,Molossops temminckii,791
Chiroptera,Molossus alvarezi,16
Chiroptera,Molossus aztecus,168
Chiroptera,Molossus bondae,596
Chiroptera,Molossus coibensis,889
Chiroptera,Molossus currentium,203
Chiroptera,Molossus fentoni,5
Chiroptera,Molossus milleri,556
Chiroptera,Molossus molossus,13812
Chiroptera,Molossus nigricans,5
Chiroptera,Molossus pretiosus,817
Chiroptera,Molossus rufus,5985
Chiroptera,Molossus sinaloae,1258
Chiroptera,Molossus verrilli,208
Chiroptera,Monophyllus plethodon,336
Chiroptera,Monophyllus redmani,1841
Chiroptera,Mops bakarii,7
Chiroptera,Mops brachypterus,334
Chiroptera,Mops condylurus,5035
Chiroptera,Mops congicus,131
Chiroptera,Mops demonstrator,98
Chiroptera,Mops leucogaster,114
Chiroptera,Mops leucostigma,290
Chiroptera,Mops midas,603
Chiroptera,Mops mops,147
Chiroptera,Mops nanulus,278
Chiroptera,Mops niangarae,1
Chiroptera,Mops niveiventer,122
Chiroptera,Mops petersoni,57
Chiroptera,Mops sarasinorum,110
Chiroptera,Mops spurrelli,317
Chiroptera,Mops thersites,769
Chiroptera,Mops trevori,30
Chiroptera,Mormoops blainvillei,745
Chiroptera,Mormoops megalophylla,5828
Chiroptera,Mormopterus acetabulosus,95
Chiroptera,Mormopterus francoismoutoui,40
Chiroptera,Mormopterus jugularis,857
Chiroptera,Mormopterus kalinowskii,54
