order,species,taxonKey,frozen,tissue,buffer,tissUbuff
Chiroptera,Macrotus waterhousii,4265361,0,3,75,77
Chiroptera,Macrotus waterhousii,4265362,0,4,157,160
Chiroptera,Macrotus waterhousii,4265363,0,11,40,43
Chiroptera,Macrotus waterhousii,4265365,0,18,30,46
Chiroptera,Macrotus waterhousii,4265366,0,0,26,26
Chiroptera,Macrotus waterhousii,7261677,0,2,80,82
Chiroptera,Macrotus waterhousii,8743479,0,0,3,3
Chiroptera,Macrotus waterhousii,9228355,0,0,0,0
Chiroptera,Macrotus waterhousii,9958927,0,0,0,0
Chiroptera,Macrotus waterhousii,10329344,0,0,0,0
Chiroptera,Macrotus waterhousii,10598911,0,0,0,0
Chiroptera,Megaderma spasma,2433352,0,11,50,59
Chiroptera,Megaderma spasma,4266664,0,0,0,0
Chiroptera,Megaderma spasma,4266665,0,0,0,0
Chiroptera,Megaderma spasma,4266666,0,0,0,0
Chiroptera,Megaderma spasma,4266667,0,0,0,0
Chiroptera,Megaderma spasma,4266668,0,0,0,0
Chiroptera,Megaderma spasma,4266669,0,0,42,42
Chiroptera,Megaderma spasma,4266670,0,0,0,0
Chiroptera,Megaderma spasma,4266671,0,0,0,0
Chiroptera,Megaderma spasma,4266672,0,0,0,0
Chiroptera,Megaderma spasma,4266676,0,0,7,7
Chiroptera,Megaderma spasma,4266677,0,0,0,0
Chiroptera,Megaderma spasma,4266678,0,0,0,0
Chiroptera,Megaderma spasma,4266680,0,0,0,0
Chiroptera,Megaderma spasma,5787399,0,0,0,0
Chiroptera,Megaderma spasma,7261946,0,5,7,12
Chiroptera,Megaderma spasma,8919722,0,0,0,0
Chiroptera,Megaderma spasma,8977110,0,0,0,0
Chiroptera,Megaderma spasma,9168476,0,0,0,0
Chiroptera,Megaderma spasma,10555677,0,0,0,0
Chiroptera,Megaderma spasma,10681327,0,0,0,0
Chiroptera,Megaderma spasma,10834154,0,0,0,0
Chiroptera,Megaerops albicollis,4265635,0,0,0,0
Chiroptera,Megaerops ecaudatus,2432920,3,15,6,20
Chiroptera,Megaerops ecaudatus,9922440,0,3,0,3
Chiroptera,Megaerops kusnotoi,2432918,0,0,0,0
Chiroptera,Megaerops kusnotoi,10562117,0,0,0,0
Chiroptera,Megaerops niphanae,2432919,0,1,5,6
Chiroptera,Megaerops niphanae,10121741,0,0,0,0
Chiroptera,Megaloglossus azagnyi,8259533,0,0,0,0
Chiroptera,Megaloglossus woermanni,2432799,2,28,69,95
Chiroptera,Megaloglossus woermanni,10308276,0,0,0,0
Chiroptera,Melonycteris melanops,2432797,0,3,113,116
Chiroptera,Melonycteris melanops,10540028,0,0,0,0
Chiroptera,Mesophylla macconnelli,5218756,6,21,5,26
Chiroptera,Mesophylla macconnelli,5706808,1,7,6,13
Chiroptera,Mesophylla macconnelli,5706809,0,0,17,17
Chiroptera,Mesophylla macconnelli,9155321,0,0,0,0
Chiroptera,Mesophylla macconnelli,10227584,0,0,0,0
Chiroptera,Mesophylla macconnelli,10694398,0,19,5,24
Chiroptera,Micronomus norfolkensis,2433058,0,0,12,12
Chiroptera,Micronomus norfolkensis,10869723,3,3,0,3
Chiroptera,Micronycteris brosseti,4265442,2,2,0,2
Chiroptera,Micronycteris brosseti,10046725,0,0,0,0
Chiroptera,Micronycteris buriri,10713612,0,17,17,19
Chiroptera,Micronycteris giovanniae,7415968,0,0,0,0
Chiroptera,Micronycteris hirsuta,2433287,4,25,28,49
Chiroptera,Micronycteris hirsuta,9847027,0,0,0,0
Chiroptera,Micronycteris hirsuta,10442148,0,0,0,0
Chiroptera,Micronycteris hirsuta,10486168,0,0,0,0
Chiroptera,Micronycteris matses,4265441,2,3,0,3
Chiroptera,Micronycteris megalotis,2433289,1,61,124,163
Chiroptera,Micronycteris megalotis,9896172,0,0,0,0
Chiroptera,Micronycteris megalotis,9904365,0,0,0,0
Chiroptera,Micronycteris megalotis,9989251,0,0,0,0
Chiroptera,Micronycteris megalotis,10054889,0,0,0,0
Chiroptera,Micronycteris megalotis,10139764,0,0,0,0
Chiroptera,Micronycteris megalotis,10147942,0,0,0,0
Chiroptera,Micronycteris megalotis,10298977,0,0,0,0
Chiroptera,Micronycteris megalotis,10384181,0,0,0,0
Chiroptera,Micronycteris megalotis,10535739,0,0,0,0
Chiroptera,Micronycteris megalotis,10544025,0,0,0,0
Chiroptera,Micronycteris microtis,4265439,1,1,1,2
Chiroptera,Micronycteris microtis,4265444,0,0,37,37
Chiroptera,Micronycteris microtis,7261690,6,28,13,39
Chiroptera,Micronycteris microtis,8856035,0,4,44,47
Chiroptera,Micronycteris microtis,10241246,0,0,0,0
Chiroptera,Micronycteris minuta,2433286,3,25,41,57
Chiroptera,Micronycteris minuta,4265443,0,0,0,0
Chiroptera,Micronycteris minuta,9997473,0,0,0,0
Chiroptera,Micronycteris minuta,10290749,0,0,0,0
Chiroptera,Micronycteris minuta,10392480,0,0,0,0
Chiroptera,Micronycteris minuta,10637780,0,0,0,0
Chiroptera,Micronycteris sanborni,4265445,0,0,0,0
Chiroptera,Micronycteris schmidtorum,2433285,1,5,14,19
Chiroptera,Micronycteris simmonsae,10757644,0,0,0,0
Chiroptera,Micronycteris tresamici,10866278,0,0,0,0
Chiroptera,Micronycteris yatesi,8238089,0,0,0,0
Chiroptera,Mimetillus moloneyi,2432527,2,3,12,15
Chiroptera,Mimetillus moloneyi,4266459,0,0,1,1
Chiroptera,Mimetillus moloneyi,4266460,0,0,0,0
Chiroptera,Mimetillus moloneyi,9152897,0,0,0,0
Chiroptera,Mimetillus moloneyi,10819657,0,0,0,0
Chiroptera,Mimetillus moloneyi,11118141,0,0,0,0
Chiroptera,Mimon bennettii,2433309,0,8,13,21
Chiroptera,Mimon bennettii,10353611,0,0,0,0
Chiroptera,Mimon cozumelae,4265293,2,4,4,7
Chiroptera,Mimon cozumelae,10260334,0,0,0,0
Chiroptera,Miniopterus aelleni,8327146,0,10,0,10
Chiroptera,Miniopterus africanus,4266204,0,16,1,17
Chiroptera,Miniopterus africanus,10141727,0,0,0,0
Chiroptera,Miniopterus africanus,10145972,0,0,0,0
Chiroptera,Miniopterus ambohitrensis,8611410,0,2,0,2
Chiroptera,Miniopterus arenarius,4266200,0,2,1,3
Chiroptera,Miniopterus australis,2432508,142,250,152,396
Chiroptera,Miniopterus australis,4266182,0,0,0,0
Chiroptera,Miniopterus australis,4266220,0,0,16,16
Chiroptera,Miniopterus australis,7261849,0,0,27,27
Chiroptera,Miniopterus australis,8794973,0,0,0,0
Chiroptera,Miniopterus australis,10542038,0,0,0,0
Chiroptera,Miniopterus blepotis,4266218,0,0,30,30
Chiroptera,Miniopterus blepotis,4831854,0,0,0,0
Chiroptera,Miniopterus blepotis,9036402,0,0,0,0
Chiroptera,Miniopterus blepotis,11375982,0,0,0,0
Chiroptera,Miniopterus brachytragos,8079127,0,4,0,4
Chiroptera,Miniopterus egeri,7498622,0,4,0,4
Chiroptera,Miniopterus eschscholtzii,4266198,0,15,58,73
Chiroptera,Miniopterus fraterculus,2432504,0,0,0,0
Chiroptera,Miniopterus fuliginosus,4266188,0,0,1,1
Chiroptera,Miniopterus fuliginosus,4266194,0,0,0,0
Chiroptera,Miniopterus fuliginosus,4266211,0,0,0,0
Chiroptera,Miniopterus fuliginosus,4266222,0,0,3,3
Chiroptera,Miniopterus fuliginosus,5787699,0,0,5,5
Chiroptera,Miniopterus fuliginosus,10235010,0,0,0,0
Chiroptera,Miniopterus fuliginosus,10958446,0,0,0,0
Chiroptera,Miniopterus fuscus,2432511,0,0,0,0
Chiroptera,Miniopterus gleni,4266199,0,15,0,15
Chiroptera,Miniopterus griffithsi,8081325,0,3,0,3
Chiroptera,Miniopterus griveaudi,4266210,0,0,0,0
