order,species,frozen,tissue,buffer,tissUbuff
Chiroptera,Eptesicus isabellinus,0,1,0,1
Chiroptera,Eptesicus japonensis,0,0,0,0
Chiroptera,Eptesicus nilssonii,2,6,169,175
Chiroptera,Eptesicus ognevi,0,0,1,1
Chiroptera,Eptesicus pachyomus,0,0,0,0
Chiroptera,Eptesicus platyops,0,0,0,0
Chiroptera,Eptesicus serotinus,0,19,311,330
Chiroptera,Eptesicus taddeii,0,0,0,0
Chiroptera,Eptesicus tatei,0,0,0,0
Chiroptera,Eptesicus ulapesensis,0,0,0,0
Chiroptera,Erophylla bombifrons,10,10,13,23
Chiroptera,Erophylla sezekorni,2,83,707,790
Chiroptera,Euderma maculatum,1,5,8,11
Chiroptera,Eudiscoderma thongareeae,0,0,2,2
Chiroptera,Eudiscopus denticulus,0,0,2,2
Chiroptera,Eumops auripendulus,1,8,58,65
Chiroptera,Eumops bonariensis,0,155,321,348
Chiroptera,Eumops chimaera,0,0,0,0
Chiroptera,Eumops dabbenei,0,10,8,13
Chiroptera,Eumops delticus,0,0,0,0
Chiroptera,Eumops ferox,0,0,0,0
Chiroptera,Eumops floridanus,0,0,0,0
Chiroptera,Eumops glaucinus,0,110,68,136
Chiroptera,Eumops hansae,0,3,2,4
Chiroptera,Eumops maurus,0,0,0,0
Chiroptera,Eumops nanus,0,5,10,10
Chiroptera,Eumops patagonicus,0,1,43,44
Chiroptera,Eumops perotis,3,18,59,74
Chiroptera,Eumops trumbulli,0,0,7,7
Chiroptera,Eumops underwoodi,0,6,12,17
Chiroptera,Eumops wilsoni,0,0,0,0
Chiroptera,Falsistrellus mackenziei,0,0,37,37
Chiroptera,Falsistrellus tasmaniensis,16,16,28,42
Chiroptera,Furipterus horrens,1,7,8,13
Chiroptera,Gardnerycteris crenulatum,6,46,43,77
Chiroptera,Gardnerycteris keenani,0,1,0,1
Chiroptera,Gardnerycteris koepckeae,0,0,0,0
Chiroptera,Glauconycteris alboguttata,0,0,2,2
Chiroptera,Glauconycteris argentata,0,3,5,8
Chiroptera,Glauconycteris atra,0,0,0,0
Chiroptera,Glauconycteris beatrix,2,5,0,5
Chiroptera,Glauconycteris curryae,0,0,0,0
Chiroptera,Glauconycteris egeria,0,0,0,0
Chiroptera,Glauconycteris gleni,0,0,0,0
Chiroptera,Glauconycteris humeralis,0,1,0,1
Chiroptera,Glauconycteris kenyacola,0,0,0,0
Chiroptera,Glauconycteris machadoi,0,0,0,0
Chiroptera,Glauconycteris poensis,0,6,0,6
Chiroptera,Glauconycteris superba,0,2,0,2
Chiroptera,Glauconycteris variegata,0,5,5,10
Chiroptera,Glischropus aquilus,0,0,0,0
Chiroptera,Glischropus bucephalus,0,0,0,0
Chiroptera,Glischropus javanus,0,0,0,0
Chiroptera,Glischropus tylopus,0,35,18,39
Chiroptera,Glossophaga antillarum,0,2,38,38
Chiroptera,Glossophaga commissarisi,1,43,389,419
Chiroptera,Glossophaga leachii,0,40,515,553
Chiroptera,Glossophaga longirostris,0,165,405,413
Chiroptera,Glossophaga morenoi,2,15,53,67
Chiroptera,Glossophaga mutica,3,75,1155,1177
Chiroptera,Glossophaga soricina,42,656,2546,2919
Chiroptera,Glossophaga valens,0,17,124,141
Chiroptera,Glyphonycteris behnii,0,0,0,0
Chiroptera,Glyphonycteris daviesi,1,3,0,3
Chiroptera,Glyphonycteris sylvestris,1,5,16,21
Chiroptera,Haplonycteris fischeri,0,130,247,377
Chiroptera,Harpiocephalus harpia,3,7,1,8
Chiroptera,Harpiola grisea,0,0,0,0
Chiroptera,Harpiola isodon,0,0,0,0
Chiroptera,Harpyiocephalus esperoptenus,0,0,0,0
Chiroptera,Harpyionycteris celebensis,0,0,18,18
Chiroptera,Harpyionycteris whiteheadi,0,19,27,46
Chiroptera,Hesperoptenus blanfordi,0,0,2,2
Chiroptera,Hesperoptenus doriae,0,0,0,0
Chiroptera,Hesperoptenus gaskelli,0,0,0,0
Chiroptera,Hesperoptenus tickelli,0,3,7,10
Chiroptera,Hesperoptenus tomesi,0,2,1,3
Chiroptera,Hipposideros abae,0,0,23,23
Chiroptera,Hipposideros alongensis,0,0,0,0
Chiroptera,Hipposideros armiger,6,19,29,47
Chiroptera,Hipposideros arpiocephalus,0,0,0,0
Chiroptera,Hipposideros ater,5,32,283,314
Chiroptera,Hipposideros beatus,0,1,48,49
Chiroptera,Hipposideros bicolor,0,34,90,105
Chiroptera,Hipposideros boeadii,0,0,0,0
Chiroptera,Hipposideros breviceps,0,0,0,0
Chiroptera,Hipposideros caffer,5,70,225,295
Chiroptera,Hipposideros calcaratus,8,7,339,346
Chiroptera,Hipposideros ceruinus,0,0,0,0
Chiroptera,Hipposideros cervinus,275,354,305,637
Chiroptera,Hipposideros cineraceus,0,1,14,15
Chiroptera,Hipposideros coronatus,0,0,0,0
Chiroptera,Hipposideros coxi,0,2,0,2
Chiroptera,Hipposideros crumeniferus,0,0,0,0
Chiroptera,Hipposideros curtus,0,0,1,1
Chiroptera,Hipposideros demissus,0,0,0,0
Chiroptera,Hipposideros diadema,13,144,556,695
Chiroptera,Hipposideros dinops,4,0,1,1
Chiroptera,Hipposideros doriae,0,2,0,2
Chiroptera,Hipposideros durgadasi,0,0,0,0
Chiroptera,Hipposideros dyacorum,0,3,0,3
Chiroptera,Hipposideros einnaythu,0,0,0,0
Chiroptera,Hipposideros fuliginosus,0,0,10,10
Chiroptera,Hipposideros fulvus,0,0,0,0
Chiroptera,Hipposideros galeritus,0,13,256,267
Chiroptera,Hipposideros gentilis,0,1,2,3
Chiroptera,Hipposideros grandis,0,1,2,3
Chiroptera,Hipposideros griffini,0,0,0,0
Chiroptera,Hipposideros griffoni,0,0,0,0
Chiroptera,Hipposideros halophyllus,0,0,0,0
Chiroptera,Hipposideros hypophyllus,0,0,0,0
Chiroptera,Hipposideros inexpectatus,0,0,1,1
Chiroptera,Hipposideros inornatus,75,82,8,82
Chiroptera,Hipposideros ipposideros,0,0,0,0
Chiroptera,Hipposideros jonesi,0,0,1,1
Chiroptera,Hipposideros khaokhouayensis,0,0,0,0
Chiroptera,Hipposideros kunzi,0,0,0,0
Chiroptera,Hipposideros lamottei,0,0,0,0
Chiroptera,Hipposideros lankadiva,0,0,2,2
Chiroptera,Hipposideros larvatus,38,38,150,184
Chiroptera,Hipposideros lekaguli,0,3,8,11
Chiroptera,Hipposideros lylei,0,0,4,4
Chiroptera,Hipposideros macrobullatus,0,0,2,2
Chiroptera,Hipposideros macrobullotus,0,0,0,0
Chiroptera,Hipposideros madurae,0,0,0,0
Chiroptera,Hipposideros maggietaylorae,0,14,82,96
Chiroptera,Hipposideros marisae,0,0,0,0
Chiroptera,Hipposideros megalotis,0,0,0,0
Chiroptera,Hipposideros nequam,0,0,0,0
Chiroptera,Hipposideros nicobarulae,0,0,0,0
Chiroptera,Hipposideros obscurus,0,30,4,34
Chiroptera,Hipposideros orbiculus,0,0,0,0
Chiroptera,Hipposideros papua,0,0,48,48
Chiroptera,Hipposideros pelingensis,0,0,0,0
Chiroptera,Hipposideros pendleburyi,0,0,9,9
Chiroptera,Hipposideros pomona,0,0,9,9
Chiroptera,Hipposideros pratti,0,0,4,4
Chiroptera,Hipposideros pygmaeus,0,25,2,27
Chiroptera,Hipposideros ridleyi,0,2,3,5
Chiroptera,Hipposideros rotalis,0,0,0,0
Chiroptera,Hipposideros ruber,0,21,288,309
Chiroptera,Hipposideros scutinares,0,0,0,0
Chiroptera,Hipposideros sorenseni,0,0,0,0
Chiroptera,Hipposideros speoris,0,0,16,16
Chiroptera,Hipposideros sumbae,0,0,0,0
Chiroptera,Hipposideros tephrus,0,0,0,0
Chiroptera,Hipposideros turpis,0,0,2,2
