order,species,taxonKey,n
Chiroptera,Balionycteris seimundi,10781463,2
Chiroptera,Barbastella barbastellus,2432582,733
Chiroptera,Barbastella barbastellus,7261830,8
Chiroptera,Barbastella barbastellus,10514673,14
Chiroptera,Barbastella beijingensis,7725730,9
Chiroptera,Barbastella caspica,5787711,2
Chiroptera,Barbastella darjelingensis,4266073,35
Chiroptera,Barbastella darjelingensis,10018383,1
Chiroptera,Barbastella darjelingensis,10269773,7
Chiroptera,Barbastella leucomelas,2432581,61
Chiroptera,Barbastella leucomelas,7261829,1
Chiroptera,Barbastella leucomelas,10168932,2
Chiroptera,Barbastella pacifica,10602268,18
Chiroptera,Bauerus dubiaquercus,2432338,17
Chiroptera,Bauerus dubiaquercus,4265862,90
Chiroptera,Bauerus dubiaquercus,10657846,5
Chiroptera,Boneia bidens,2432843,8
Chiroptera,Boneia bidens,4265740,27
Chiroptera,Brachyphylla cavernarum,5218760,771
Chiroptera,Brachyphylla cavernarum,5706821,193
Chiroptera,Brachyphylla cavernarum,5706823,24
Chiroptera,Brachyphylla cavernarum,7261680,1038
Chiroptera,Brachyphylla cavernarum,9901357,8
Chiroptera,Brachyphylla nana,5218761,406
Chiroptera,Brachyphylla nana,11306936,24
Chiroptera,Cabreramops aequatorianus,4832117,1
Chiroptera,Cardioderma cor,2433356,770
Chiroptera,Cardioderma cor,7738209,13
Chiroptera,Cardioderma cor,10310544,31
Chiroptera,Cardioderma leakeyi,11122254,1
Chiroptera,Carollia benkeithi,8062282,75
Chiroptera,Carollia brevicaudum,2433177,1
Chiroptera,Carollia brevicaudum,4265409,74
Chiroptera,Carollia brevicaudum,11264537,9923
Chiroptera,Carollia castanea,2433178,3271
Chiroptera,Carollia castanea,9945319,35
Chiroptera,Carollia castanea,10343002,14
Chiroptera,Carollia castanea,10585265,27
Chiroptera,Carollia manu,5787391,3
Chiroptera,Carollia monohernandezi,7627188,5
Chiroptera,Carollia perspicillata,2433176,30236
Chiroptera,Carollia perspicillata,10491571,1402
Chiroptera,Carollia perspicillata,11152138,2387
Chiroptera,Carollia perspicillata,11204237,1117
Chiroptera,Carollia sowelli,4265408,851
Chiroptera,Carollia sowelli,9948313,119
Chiroptera,Carollia sowelli,10095752,7
Chiroptera,Carollia sowelli,10588261,2
Chiroptera,Carollia subrufa,2433175,2542
Chiroptera,Carollia subrufa,10339976,85
Chiroptera,Casinycteris argynnis,2432853,54
Chiroptera,Casinycteris campomaanensis,8377991,4
Chiroptera,Casinycteris ophiodon,2432779,20
Chiroptera,Casinycteris ophiodon,7642785,8
Chiroptera,Cassistrellus dimissus,2432370,1
Chiroptera,Cassistrellus dimissus,4266017,1
Chiroptera,Cassistrellus dimissus,11221197,8
Chiroptera,Cassistrellus yokdonensis,9510785,2
Chiroptera,Centronycteris centralis,4265249,30
Chiroptera,Centronycteris maximiliani,2433136,51
Chiroptera,Centronycteris maximiliani,9882423,6
Chiroptera,Centurio senex,2433148,599
Chiroptera,Centurio senex,4265430,50
Chiroptera,Centurio senex,7261687,534
Chiroptera,Centurio senex,10365083,55
Chiroptera,Chaerephon aloysiisabaudiae,5218717,24
Chiroptera,Chaerephon aloysiisabaudiae,5787344,4
Chiroptera,Chaerephon ansorgei,5218722,144
Chiroptera,Chaerephon ansorgei,5787376,319
Chiroptera,Chaerephon ansorgei,8405862,2
Chiroptera,Chaerephon atsinanana,8280249,70
Chiroptera,Chaerephon bemmeleni,5218713,14
Chiroptera,Chaerephon bemmeleni,5707217,2
Chiroptera,Chaerephon bemmeleni,5787342,70
Chiroptera,Chaerephon bivittatus,5218718,8
Chiroptera,Chaerephon bivittatus,5707233,152
Chiroptera,Chaerephon bivittatus,5787374,266
Chiroptera,Chaerephon bregullae,5707225,16
Chiroptera,Chaerephon bregullae,8789285,16
Chiroptera,Chaerephon chapini,5218723,20
Chiroptera,Chaerephon chapini,5707224,10
Chiroptera,Chaerephon chapini,5787325,34
Chiroptera,Chaerephon chapini,7261919,2
Chiroptera,Chaerephon gallagheri,5218714,1
Chiroptera,Chaerephon gallagheri,5787340,1
Chiroptera,Chaerephon jobensis,5218719,720
Chiroptera,Chaerephon jobensis,5707219,129
Chiroptera,Chaerephon jobensis,5787372,4
Chiroptera,Chaerephon jobensis,7261917,2
Chiroptera,Chaerephon jobimena,8004484,6
Chiroptera,Chaerephon johorensis,5218715,10
Chiroptera,Chaerephon johorensis,5787339,21
Chiroptera,Chaerephon leucogaster,5707228,265
Chiroptera,Chaerephon major,5218720,303
Chiroptera,Chaerephon major,5787370,20
Chiroptera,Chaerephon nigeriae,5218711,338
Chiroptera,Chaerephon nigeriae,5707220,56
Chiroptera,Chaerephon nigeriae,5787337,56
Chiroptera,Chaerephon nigeriae,5787338,1
Chiroptera,Chaerephon nigeriae,7261918,5
Chiroptera,Chaerephon plicatus,5218721,1104
Chiroptera,Chaerephon plicatus,5707214,1232
Chiroptera,Chaerephon plicatus,5707221,104
Chiroptera,Chaerephon plicatus,5707222,42
Chiroptera,Chaerephon plicatus,5707231,684
Chiroptera,Chaerephon plicatus,5787364,30
Chiroptera,Chaerephon plicatus,7261915,27
Chiroptera,Chaerephon plicatus,10046520,4
Chiroptera,Chaerephon pumilus,5707216,4661
Chiroptera,Chaerephon pumilus,11013024,311
Chiroptera,Chaerephon pusillus,5787333,86
Chiroptera,Chaerephon pusillus,5787335,1
Chiroptera,Chaerephon pusillus,8281598,4
Chiroptera,Chaerephon russatus,5218716,3
Chiroptera,Chaerephon russatus,5707232,33
Chiroptera,Chaerephon russatus,5787353,7
Chiroptera,Chaerephon solomonis,5707218,6
Chiroptera,Chaerephon tomensis,5707234,3
Chiroptera,Chalinolobus dwyeri,2432283,67
Chiroptera,Chalinolobus gouldii,2432284,4550
Chiroptera,Chalinolobus gouldii,7959662,1
Chiroptera,Chalinolobus morio,2432295,1574
Chiroptera,Chalinolobus neocaledonicus,4266058,3
Chiroptera,Chalinolobus neocaledonicus,10797789,1
Chiroptera,Chalinolobus nigrogriseus,2432285,506
Chiroptera,Chalinolobus nigrogriseus,4266057,148
Chiroptera,Chalinolobus nigrogriseus,7261826,42
Chiroptera,Chalinolobus picatus,2432291,184
Chiroptera,Chalinolobus tuberculatus,2432286,71
Chiroptera,Chalinolobus tuberculatus,10067458,2
Chiroptera,Cheiromeles parvidens,4266500,12
Chiroptera,Cheiromeles torquatus,2433027,147
Chiroptera,Cheiromeles torquatus,4266499,5
Chiroptera,Cheiromeles torquatus,4266502,40
Chiroptera,Cheiromeles torquatus,7261912,34
Chiroptera,Chilonatalus macer,4265607,15
Chiroptera,Chilonatalus macer,7977021,6
Chiroptera,Chilonatalus macer,8279196,1
Chiroptera,Chilonatalus micropus,2432755,166
Chiroptera,Chilonatalus micropus,4265609,53
Chiroptera,Chilonatalus micropus,7261725,61
Chiroptera,Chilonatalus micropus,7261726,50
Chiroptera,Chilonatalus micropus,10423204,2
Chiroptera,Chilonatalus tumidifrons,2432754,1
Chiroptera,Chilonatalus tumidifrons,4265610,128
Chiroptera,Chiroderma doriae,2433166,45
Chiroptera,Chiroderma doriae,8322170,66
Chiroptera,Chiroderma doriae,11160657,1
Chiroptera,Chiroderma gorgasi,10803613,12
Chiroptera,Chiroderma gorgasi,11308981,10
Chiroptera,Chiroderma improvisum,2433164,12
Chiroptera,Chiroderma salvini,2433167,395
Chiroptera,Chiroderma salvini,7261681,378
Chiroptera,Chiroderma salvini,10610434,6
Chiroptera,Chiroderma scopaeum,4265383,165
Chiroptera,Chiroderma scopaeum,10711825,24
Chiroptera,Chiroderma trinitatum,2433163,581
Chiroptera,Chiroderma trinitatum,10317935,70
Chiroptera,Chiroderma trinitatum,11353545,32
Chiroptera,Chiroderma villosum,2433165,1175
Chiroptera,Chiroderma villosum,4265382,295
Chiroptera,Chiroderma villosum,4265385,384
Chiroptera,Chiroderma villosum,9970357,177
Chiroptera,Chiroderma villosum,10695087,208
Chiroptera,Chironax melanocephalus,2432845,241
Chiroptera,Chironax melanocephalus,7261755,6
Chiroptera,Chironax melanocephalus,10504218,4
Chiroptera,Chironax tumulus,4265734,9
Chiroptera,Choeroniscus godmani,2433161,244
Chiroptera,Choeroniscus godmani,8339697,1
Chiroptera,Choeroniscus minor,2433158,234
Chiroptera,Choeroniscus minor,2433160,14
Chiroptera,Choeroniscus minor,10483152,8
Chiroptera,Choeroniscus periosus,2433159,11
Chiroptera,Choeroniscus periosus,7261689,1
Chiroptera,Choeronycteris mexicana,2433207,1789
Chiroptera,Choeronycteris mexicana,10202536,2
Chiroptera,Chrotopterus auritus,5218753,545
Chiroptera,Chrotopterus auritus,8033454,2
Chiroptera,Chrotopterus auritus,9838912,9
Chiroptera,Chrotopterus auritus,10233010,5
Chiroptera,Chrotopterus auritus,10450411,18
Chiroptera,Chrotopterus auritus,10477958,45
Chiroptera,Chrotopterus auritus,10765080,4
Chiroptera,Cistugo lesueuri,2432404,10
Chiroptera,Cistugo lesueuri,4266084,6
Chiroptera,Cistugo seabrae,2432390,19
Chiroptera,Cistugo seabrae,4266085,10
Chiroptera,Cloeotis percivali,2432679,283
Chiroptera,Cloeotis percivali,4265492,51
Chiroptera,Coelops frithii,5218550,24
Chiroptera,Coelops frithii,5706852,9
Chiroptera,Coelops frithii,5706854,1
Chiroptera,Coelops frithii,5706856,77
Chiroptera,Coelops frithii,5706858,1
Chiroptera,Coelops frithii,7261697,96
Chiroptera,Coelops frithii,10317750,2
Chiroptera,Coelops frithii,10365282,1
Chiroptera,Coelops robinsoni,5218551,13
Chiroptera,Coelops robinsoni,5218552,2
Chiroptera,Coelops robinsoni,5706857,1
Chiroptera,Coelops robinsoni,9923193,1
Chiroptera,Coleura afra,2433088,1581
Chiroptera,Coleura afra,8110272,10
Chiroptera,Coleura afra,9953739,10
Chiroptera,Coleura afra,10334547,11
Chiroptera,Coleura afra,10613641,7
Chiroptera,Coleura afra,10835004,2
Chiroptera,Coleura afra,11304647,1
Chiroptera,Coleura kibomalandy,7792489,7
Chiroptera,Coleura seychellensis,2433087,19
Chiroptera,Coleura seychellensis,4265250,1
Chiroptera,Coleura seychellensis,7261656,1
Chiroptera,Cormura brevirostris,2433102,466
Chiroptera,Cormura brevirostris,9975771,2
Chiroptera,Cormura brevirostris,10068469,7
Chiroptera,Cormura brevirostris,10615835,42
Chiroptera,Corynorhinus mexicanus,2432488,828
Chiroptera,Corynorhinus mexicanus,5218516,142
Chiroptera,Corynorhinus rafinesquii,2432491,230
Chiroptera,Corynorhinus rafinesquii,4266050,86
Chiroptera,Corynorhinus rafinesquii,5218518,211
Chiroptera,Corynorhinus rafinesquii,7261824,50
Chiroptera,Corynorhinus rafinesquii,8874304,3
Chiroptera,Corynorhinus rafinesquii,9881398,5
Chiroptera,Corynorhinus townsendii,2432479,1618
Chiroptera,Corynorhinus townsendii,5218508,406
Chiroptera,Corynorhinus townsendii,6163665,38
Chiroptera,Corynorhinus townsendii,6163666,611
Chiroptera,Corynorhinus townsendii,6163667,830
Chiroptera,Corynorhinus townsendii,6163668,42
Chiroptera,Corynorhinus townsendii,6163669,144
Chiroptera,Corynorhinus townsendii,6163670,547
Chiroptera,Corynorhinus townsendii,6163671,9
Chiroptera,Corynorhinus townsendii,6163672,2305
Chiroptera,Corynorhinus townsendii,6163673,1
Chiroptera,Corynorhinus townsendii,6163674,11
Chiroptera,Corynorhinus townsendii,7193857,195
Chiroptera,Corynorhinus townsendii,10237244,4
Chiroptera,Corynorhinus townsendii,10446121,10
Chiroptera,Craseonycteris thonglongyai,2433358,85
Chiroptera,Cynomops abrasus,2433002,77
Chiroptera,Cynomops abrasus,4266505,6
Chiroptera,Cynomops abrasus,4266509,11
Chiroptera,Cynomops abrasus,7261913,124
Chiroptera,Cynomops abrasus,9180250,4
Chiroptera,Cynomops abrasus,10010997,7
Chiroptera,Cynomops abrasus,10651429,16
Chiroptera,Cynomops greenhalli,2433001,32
Chiroptera,Cynomops greenhalli,4266508,70
Chiroptera,Cynomops greenhalli,10277164,1
Chiroptera,Cynomops kuizha,11375287,1
Chiroptera,Cynomops mastivus,4266511,7
Chiroptera,Cynomops mexicanus,4266504,53
Chiroptera,Cynomops mexicanus,8818613,6
Chiroptera,Cynomops mexicanus,9860508,1
Chiroptera,Cynomops milleri,8818135,5
Chiroptera,Cynomops planirostris,2433007,109
Chiroptera,Cynomops planirostris,4266507,355
Chiroptera,Cynomops planirostris,4266510,148
Chiroptera,Cynomops planirostris,8050056,1
